#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
1063;J1539-5521;15:39:07.9;-55:21:11.2;1.004958;7.28e-16;*;*;*;
1064;J1539-5626;15:39:14.0;-56:26:26.3;0.243395;4.85e-15;*;*;1;
1065;J1539-6322;15:39:24.7;-63:22:53.2;1.630846;2.02e-16;*;*;*;
1066;J1540-5736;15:40:59.0;-57:36:57;0.612916;4.21e-16;*;*;*;
1067;J1541-42;15:41:55;-42:18:50;*;*;*;RRAT;*;
1068;J1541-5535;15:41:49.6;-55:35:01;0.295838;7.50e-14;*;*;*;
1069;J1542-5034;15:42:45.3;-50:34:03.6;0.599248;4.02e-15;*;*;*;
1070;J1542-5133;15:42:19.9;-51:33:35;1.783865;5.89e-16;*;*;*;
1071;J1542-5303;15:42:54.5;-53:03:41;1.207568;7.78e-14;*;*;*;
1072;J1543-0620;15:43:30.1;-06:20:45.3;0.709064;8.80e-16;*;*;*;
1073;J1543+0929;15:43:38.8;+09:29:16.3;0.748448;4.32e-16;*;*;*;
1074;J1543-5013;15:43:58.2;-50:13:58;0.644255;1.01e-14;*;*;*;
1075;J1543-5149;15:43:44.1;-51:49:54.6;0.002057;1.62e-20;ELL1;*;*;
1076;J1543-5459;15:43:56.4;-54:59:15.0;0.377138;5.21e-14;*;*;*;
1077;J1544-0713;15:44:23.5;-07:13:59.0;0.484130;1.14e-15;*;*;*;
1078;J1544+4937;15:44:04.4;+49:37:55.2;0.002159;2.93e-21;ELL1;HE;*;
1079;J1544-5308;15:44:59.8;-53:08:46.9;0.178554;6.03e-17;*;*;*;
1080;J1545-4550;15:45:55.9;-45:50:37.5;0.003575;5.25e-20;T2;*;*;
1081;J1546-3747A;15:46:03.4;-37:47:10.1;0.002606;*;BT;*;*;
1082;J1546-5302;15:46:07.4;-53:02:23.0;0.580840;1.18e-14;*;*;*;
1083;J1546-5925;15:46:29.3;-59:25:44.8;0.007797;1.61e-20;*;*;*;
1084;J1547-0944;15:47:46.0;-09:44:07.8;1.576925;2.94e-15;*;*;*;
1085;J1547-5709;15:47:24.1;-57:09:17.5;0.004291;7.45e-21;ELL1;*;*;
1086;J1547-5750;15:47:30.6;-57:50:29.4;0.647198;2.56e-17;*;*;*;
1087;J1547-5839;15:47:34.9;-58:39:09.8;0.242190;5.94e-16;*;*;*;
1088;J1548-4821;15:48:23.2;-48:21:49.7;0.145655;8.00e-19;*;*;*;
1089;J1548-4927;15:48:19.4;-49:27:40.4;0.602738;4.05e-15;*;*;*;
1090;J1548-5607;15:48:44.0;-56:07:34.3;0.170938;1.07e-14;*;*;*;
1091;J1549+2113;15:49:40.9;+21:13:26.9;1.262471;8.54e-16;*;*;*;
1092;J1549-4848;15:49:21.0;-48:48:35.5;0.288355;1.41e-14;*;*;*;
1093;J1549-57;15:49:05;-57:21:37;0.737500;*;*;RRAT;*;
1094;J1549-5722;15:49:47.9;-57:22:02;0.497772;4.70e-17;*;*;*;
1095;J1550-5242;15:50:02.9;-52:42:07.0;0.749659;1.78e-14;*;*;*;
1096;J1550-5317;15:50:04.8;-53:17:21;1.421124;9.35e-16;*;*;*;
1097;J1550-5418;15:50:54.1;-54:18:24.1;2.069833;2.32e-11;*;AXP,HE;*;
1098;J1551-0658;15:51:07.2;-06:58:06.5;0.007090;*;*;*;*;
1099;J1551-4424;15:51:48.0;-44:24:42;0.674060;1.88e-16;*;*;*;
1100;J1551-5310;15:51:41.0;-53:11:00.5;0.453448;1.95e-13;*;*;*;
1101;J1551-6214;15:51:36.7;-62:14:23.3;0.198839;2.28e-17;*;*;*;
1102;J1552-4937;15:52:13.2;-49:37:49.7;0.006284;1.90e-20;*;*;*;
1103;J1552+5437;15:52:53.3;+54:37:05.7;0.002428;2.80e-21;*;HE[pbh+17];*;
1104;J1553-5456;15:53:59.6;-54:56:06.2;1.081347;1.57e-14;*;*;*;
1105;J1554+18;15:54:17;+18:04;*;*;*;RRAT[dsm+16];*;
1106;J1554-5209;15:54:27.1;-52:09:38.3;0.125230;2.29e-15;*;RRAT;*;
1107;J1554-5512;15:54:40.5;-55:12:33;3.418039;3.12e-14;*;*;*;
1108;J1555+01;15:55:58;+01:08;*;*;*;RRAT[ttm18];*;
1109;J1555-0515;15:55:40.0;-05:15:57.4;0.975410;2.05e-15;*;*;*;
1110;J1555-2341;15:55:33.1;-23:41:09.9;0.532578;6.94e-16;*;*;*;
1111;J1555-2908;15:55:40.6;-29:08:28.4;0.001788;4.45e-20;ELL1;HE[rnc+22];*;
1112;J1555-3134;15:55:17.9;-31:34:20.1;0.518110;6.22e-17;*;*;*;
1113;J1556-5358;15:56:51.5;-53:58:55;0.994681;1.04e-14;*;*;*;
1114;J1557-4258;15:57:00.2;-42:58:12.6;0.329187;3.30e-16;*;*;*;
1115;J1557-5151;15:57:29.3;-51:51:08.4;0.408155;7.54e-17;*;*;*;
1116;J1558-5419;15:58:41.4;-54:19:26;0.594575;6.04e-15;*;*;*;
1117;J1558-5756;15:58:30.5;-57:56:26.1;1.122342;1.86e-13;*;*;*;
1118;J1558-67;15:58:21;-67:35:59;0.267268;*;*;*;*;
1119;J1559-44;15:59;-44:00;1.169890;*;*;*;*;
1120;J1559-4438;15:59:41.5;-44:38:45.9;0.257056;1.02e-15;*;*;*;
1121;J1559-5545;15:59:20.7;-55:45:47;0.957267;1.99e-14;*;*;*;
1122;J1600-3053;16:00:51.9;-30:53:49.3;0.003598;9.50e-21;T2;HE[egc+13];*;
1123;J1600-5044;16:00:53.0;-50:44:21.3;0.192605;5.06e-15;*;*;*;
1124;J1600-5751;16:00:19.9;-57:51:15.3;0.194456;2.13e-15;*;*;*;
1125;J1600-5916;16:00:35.0;-59:16:59;1.247666;8.87e-16;*;*;*;
1126;J1601-50;16:01:24;-50:23;0.860777;*;*;*;*;
1127;J1601-5244;16:01:27.3;-52:44:09;2.559357;7.21e-16;*;*;*;
1128;J1601-5335;16:01:54.8;-53:35:44.1;0.288479;6.23e-14;*;*;*;
1129;J1602+3901;16:02:18.8;+39:01:01.8;0.003708;*;*;*;*;
1130;J1602-4957;16:02:18.2;-49:57:32;0.819990;1.59e-14;*;*;*;
1131;J1602-5100;16:02:18.7;-51:00:06.1;0.864286;6.94e-14;*;*;1;
1132;J1603-1655;16:03:09;-16:55:28;0.714700;*;*;RRAT[mss+20];*;
1133;J1603+18;16:03:34;+18:51;0.503000;*;*;RRAT[dsm+16];*;
1134;J1603-2531;16:03:04.8;-25:31:47.9;0.283071;1.59e-15;*;*;*;
1135;J1603-2712;16:03:08.0;-27:13:27.6;0.778313;3.01e-15;*;*;*;
1136;J1603-3539;16:03:53.6;-35:39:57.1;0.141909;1.24e-16;*;*;*;
1137;J1603-5312;16:03:50.8;-53:12:58.0;0.839221;4.96e-14;*;*;*;
1138;J1603-5657;16:03:31.4;-56:57:44.1;0.496077;2.79e-15;*;*;*;
1139;J1603-7202;16:03:35.6;-72:02:32.7;0.014842;1.56e-20;T2;*;*;
1140;J1604-3142;16:04:36.5;-31:42:06.4;0.883890;2.65e-17;*;*;*;
1141;J1604-44;16:04:32;-44:43;1.389200;*;*;*;*;
1142;J1604-4718;16:04:29.4;-47:18:47.9;0.527466;4.96e-15;*;*;*;
1143;J1604-4909;16:04:22.9;-49:09:57.9;0.327419;1.02e-15;*;*;*;
1144;J1604-7203;16:04:29.1;-72:03:30.4;0.341403;8.40e-17;*;*;*;
1145;J1605+3249;16:05:18.5;+32:49:18.0;6.880000;*;*;XINS,NRAD;*;
1146;J1605-5215;16:05:19.0;-52:15:48;1.013609;4.75e-15;*;*;*;
1147;J1605-5257;16:05:16.2;-52:57:34.8;0.658013;2.56e-16;*;*;*;
1148;J1607-0032;16:07:12.0;-00:32:41.5;0.421816;3.06e-16;*;*;*;
1149;J1607-5140;16:07:49.3;-51:40:16;0.342723;2.54e-15;*;*;*;
1150;J1607-6449;16:07:48.7;-64:49:43.0;0.298116;2.49e-17;*;*;*;
1151;J1609-1930;16:09:05.3;-19:30:08;1.557917;5.09e-16;*;*;*;
1152;J1609-4616;16:09:41.1;-46:16:22.5;0.249609;5.01e-16;*;*;*;
1153;J1609-5158;16:09:26.7;-51:58:18;1.279402;1.30e-14;*;*;*;
1154;J1610-1322;16:10:42.7;-13:22:22;1.018393;2.30e-16;*;*;*;
1155;J1610-17;16:10:11;-17:50;*;*;*;RRAT;*;
1156;J1610-5006;16:10:44.3;-50:06:42.2;0.481119;1.36e-14;*;*;*;
1157;J1610-5303;16:10:12.8;-53:03:49;0.786468;2.62e-15;*;*;*;
1158;J1611-01;16:11;-01:28;1.296870;*;*;RRAT;*;
1159;J1611-29;16:11;-29;0.009600;*;*;*;*;
1160;J1611-4811;16:11:02.7;-48:11:39;1.296850;1.95e-15;*;*;*;
1161;J1611-4949;16:11:46.6;-49:49:57.2;0.666438;5.42e-16;*;*;*;
1162;J1611-5209;16:11:03.3;-52:09:22.1;0.182495;5.17e-15;*;*;*;
1163;J1611-5847;16:11:51.3;-58:47:42.3;0.354550;2.01e-18;*;*;*;
1164;J1612+2008;16:12:23.4;+20:08:18.3;0.426646;3.73e-17;*;*;*;
1165;J1612-2408;16:12:26.0;-24:08:04;0.923834;1.57e-15;*;*;*;
1166;J1612-49;16:12:54;-49:27;0.192687;*;*;*;*;
1167;J1612-5022;16:12:28.0;-50:22:57.3;1.368283;3.40e-17;*;*;*;
1168;J1612-5136;16:12:00.6;-51:36:54;0.483311;3.78e-15;*;*;*;
1169;J1612-55;16:12:06;-55:09;0.846907;*;*;*;*;
1170;J1612-5805;16:12:27.8;-58:05:29.2;0.615520;9.35e-16;*;*;*;
1171;J1613-4714;16:13:29.0;-47:14:26.4;0.382377;6.34e-16;*;*;*;
1172;J1613-5211;16:13:42.4;-52:11:21.0;0.457502;1.92e-14;*;*;*;
1173;J1613-5234;16:13:57.4;-52:34:17;0.655221;6.63e-15;*;*;*;
1174;J1614+0737;16:14:40.9;+07:37:31.0;1.206801;2.36e-15;*;*;*;
1175;J1614-2230;16:14:36.5;-22:30:31.2;0.003151;9.62e-21;ELL1;HE[aaa+09f];*;
1176;J1614-23;16:14;-23:15;0.033500;*;*;*;*;
1177;J1614-3846;16:14:42.5;-38:46:35;0.464106;9.20e-16;*;*;*;
1178;J1614-3937;16:14:31.2;-39:37:28.8;0.407292;1.59e-16;*;*;*;
1179;J1614-5048;16:14:11.2;-50:48:03.5;0.231694;4.95e-13;*;HE[jlm+92,aab+22];4;
1180;J1614-5144;16:14:45.7;-51:44:49;1.534008;7.44e-15;*;*;*;
1181;J1614-5402;16:14:50.3;-54:02:47;0.572592;2.90e-17;*;*;*;
1182;J1615-2940;16:15:52.8;-29:40:16;2.477568;1.58e-15;*;*;*;
1183;J1615-4958;16:15:17.3;-49:58:02.0;0.558258;1.46e-15;*;*;*;
1184;J1615-5137;16:15:16.8;-51:37:12;0.179280;1.06e-14;*;NRAD[pvc19];*;
1185;J1615-5444;16:15:01.1;-54:44:32.4;0.360958;3.38e-16;*;*;*;
1186;J1615-5537;16:15:40.4;-55:37:00.5;0.791526;2.00e-15;*;*;*;
1187;J1616-5017;16:16:29.8;-50:17:14.9;0.491384;4.66e-14;*;*;*;
1188;J1616-5109;16:16:30.9;-51:09:17;1.219594;1.91e-14;*;*;*;
1189;J1616-5208;16:16:23.4;-52:08:48;1.025831;2.89e-14;*;*;*;
1190;J1617-4216;16:17:23.3;-42:16:59;3.428466;1.81e-14;*;*;*;
1191;J1617-4608;16:17:35.1;-46:08:36.5;0.567080;1.65e-14;*;*;*;
1192;J1617-5055;16:17:29.3;-50:55:13.2;0.069357;1.35e-13;*;HE[tkt+98];6;
1193;J1618-36;16:18:32.1;-36:03:42;0.005779;*;*;*;*;
1194;J1618-3921;16:18:18.8;-39:21:01.8;0.011987;5.41e-20;T2;*;*;
1195;J1618-4624;16:18:52.7;-46:24:34.9;0.005931;3.10e-21;ELL1;HE[ccb+20,aab+22];*;
1196;J1618-4723;16:18:06.8;-47:23:19.1;0.203553;1.99e-15;*;*;*;
1197;J1619-3345;16:19:02;-33:45:01;1.158600;*;*;RRAT[mss+20];*;
1198;J1619-42;16:19:06;-42:02;1.023152;*;*;*;*;
1199;J1620-4927;16:20:41.5;-49:27:37.1;0.171935;1.05e-14;*;NRAD;*;
1200;J1620-5414;16:20:14.4;-54:14:51.7;1.156360;6.74e-17;*;*;*;
1201;J1621-5039;16:21:04.7;-50:39:48.6;1.084020;1.30e-14;*;*;*;
1202;J1621-5243;16:21:55.8;-52:43:44;0.371924;7.68e-16;*;*;*;
1203;J1622-0315;16:22:59.6;-03:15:37.3;0.003845;1.16e-20;BT;HE;*;
1204;J1622-3751;16:22:04.5;-37:51:13.9;0.731463;2.57e-15;*;*;*;
1205;J1622-4332;16:22:45.4;-43:32:28.2;0.916938;1.56e-15;*;*;*;
1206;J1622-4347;16:22:30.0;-43:47:21.4;0.457681;5.05e-15;*;*;*;
1207;J1622-4802;16:22:47.1;-48:02:13.1;0.265072;3.07e-16;*;*;*;
1208;J1622-4845;16:22:05.4;-48:46:29;0.735092;1.10e-16;*;*;*;
1209;J1622-4944;16:22:37.5;-49:44:30;1.072968;1.71e-14;*;*;*;
1210;J1622-4950;16:22:44.8;-49:50:54.4;4.327020;2.78e-12;*;AXP,HE;*;
1211;J1622-6617;16:22:03.6;-66:17:16.9;0.023623;5.88e-20;ELL1;*;*;
1212;J1623-0841;16:23:42.6;-08:41:36.6;0.503015;1.96e-15;*;RRAT;*;
1213;J1623-0908;16:23:17.6;-09:08:48.7;1.276446;2.58e-15;*;*;*;
1214;J1623-2631;16:23:38.2;-26:31:53.7;0.011076;6.71e-19;BT;*;*;
1215;J1623-4256;16:23:48.2;-42:56:52.6;0.364591;1.01e-15;*;*;*;
1216;J1623-4949;16:23:54.8;-49:49:04;0.725732;4.21e-14;*;*;*;
1217;J1623-5005;16:23:04.1;-50:05:15.1;0.085072;4.16e-15;*;NRAD[cwp+17];*;
1218;J1624-39;16:24:25;-39:51:00;0.002960;*;*;HE[trr+21,aab+22];*;
1219;J1624-4041;16:24:09.9;-40:41:29.7;0.167861;4.72e-15;*;NRAD;*;
1220;J1624-4411;16:24:21.3;-44:11:33.8;0.233164;7.99e-16;*;*;*;
1221;J1624-4613;16:24:18.7;-46:13:02;0.871243;6.07e-17;*;*;*;
1222;J1624-4721;16:24:54.8;-47:21:27;0.448723;4.15e-15;*;*;*;
1223;J1624+5850;16:24:00.9;+58:50:15.7;0.651801;3.31e-16;*;*;*;
1224;J1624+8643;16:24:32.7;+86:43:13.2;0.395763;2.55e-16;*;*;*;
1225;J1625-0021;16:25:10.3;-00:21:28.9;0.002834;2.13e-20;ELL1;HE[drc+21];*;
1226;J1625-4048;16:25:10.3;-40:48:21.5;2.355278;4.43e-16;*;*;*;
1227;J1625-4904;16:25:18.0;-49:04:33.6;0.460339;1.68e-14;*;*;*;
1228;J1625-4913;16:25:16.4;-49:13:44.6;0.355856;6.65e-15;*;*;*;
1229;J1626-44;16:27:00;-44:22;0.308354;*;*;*;*;
1230;J1626-4537;16:26:48.9;-45:37:25.6;0.370141;8.28e-15;*;*;*;
1231;J1626-4807;16:26:42.5;-48:07:54;0.293928;1.75e-14;*;*;*;
1232;J1626-6621;16:26:06.8;-66:21:15.2;0.450868;7.66e-16;*;*;*;
1233;J1627+1419;16:27:18.7;+14:19:20.7;0.490857;3.93e-16;*;*;*;
1234;J1627+3219;16:27:56.4;+32:19:39;0.002180;*;*;NRAD[aab+22];*;
1235;J1627-4706;16:27:28.7;-47:06:50.2;0.140746;1.73e-15;*;*;*;
1236;J1627-4845;16:27:10.3;-48:45:08;0.612331;3.64e-15;*;*;*;
1237;J1627-49;16:27:42;-49:54;0.623678;*;*;*;*;
1238;J1627-51;16:27:30;-51:08;0.439684;*;*;*;*;
1239;J1627-5547;16:27:21.0;-55:47:52.4;0.352464;7.38e-16;*;*;*;
1240;J1627-5936;16:27:52.5;-59:36:55.3;0.354234;8.00e-18;*;*;*;
1241;J1628-3205;16:28:07.0;-32:05:48.9;0.003210;*;BT;HE;*;
1242;J1628+4406;16:28:50.3;+44:06:42.6;0.181178;1.94e-17;*;*;*;
1243;J1628-4804;16:28:26.8;-48:04:59;0.865971;1.24e-15;*;*;*;
1244;J1628-4828;16:28:30.9;-48:28:42;4.137539;1.75e-14;*;*;*;
1245;J1629+33;16:29;+33;1.525000;*;*;*;*;
1246;J1629-3636;16:29:35.8;-36:36:13;2.988193;7.00e-15;*;*;*;
1247;J1629-3825;16:29:14.6;-38:25:29.3;0.526365;4.44e-16;*;*;*;
1248;J1629+43;16:29;+43;0.181000;*;*;*;*;
1249;J1629-6902;16:29:08.7;-69:02:45.2;0.006001;1.00e-20;*;*;*;
1250;J1630-2609;16:30:28.9;-26:09:47;1.912420;1.57e-15;*;*;*;
1251;J1630+3550;16:30:35.9;+35:50:42.4;0.003229;2.09e-20;ELL1;*;*;
1252;J1630+3734;16:30:36.4;+37:34:42.0;0.003318;1.08e-20;ELL1;HE;*;
1253;J1630-4719;16:30:02.4;-47:19:42;0.559071;1.42e-14;*;*;*;
1254;J1630-4733;16:30:37.4;-47:33:05.0;0.575971;2.23e-14;*;*;*;
1255;J1631-1612;16:31:52.4;-16:12:52.0;0.677684;1.10e-15;*;*;*;
1256;J1631-4155;16:31:18.3;-41:55:03.7;0.551241;8.81e-18;*;*;*;
1257;J1632-1013;16:32:54.2;-10:13:18;0.717637;6.60e-17;*;*;*;
1258;J1632-4509;16:32:14.0;-45:09:09;1.046810;1.49e-14;*;*;*;
1259;J1632-4621;16:32:49.8;-46:21:48.6;1.709154;7.60e-14;*;*;*;
1260;J1632-4757;16:32:16.6;-47:57:34.5;0.228569;1.51e-14;*;*;*;
1261;J1632-4818;16:32:39.7;-48:18:53.8;0.813672;6.49e-13;*;*;*;
1262;J1633-2009;16:33:55.3;-20:10:09;0.935557;1.07e-15;*;*;*;
1263;J1633-4453;16:33:47.0;-44:53:07.8;0.436507;6.20e-15;*;*;*;
1264;J1633-4805;16:33:05.4;-48:05:36;0.710830;7.69e-14;*;*;*;
1265;J1633-5015;16:33:00.0;-50:15:08.3;0.352145;3.79e-15;*;*;*;
1266;J1634+02;16:34:50;+02:34:03;0.002120;*;*;NRAD[aab+22];*;
1267;J1634-4229;16:34:14.6;-42:29:44.3;2.015263;8.01e-15;*;*;*;
1268;J1634-49;16:34:30;-49:52;0.684936;*;*;*;*;
1269;J1634-5107;16:34:04.9;-51:07:45.6;0.507356;1.57e-15;*;*;*;
1270;J1634-5640;16:34:19.1;-56:40:48.7;0.224201;4.10e-17;*;*;*;
1271;J1635-1511;16:35:47.3;-15:11:52;1.179387;2.32e-16;*;*;*;
1272;J1635+2332;16:35:05.3;+23:32:23.2;1.208694;8.63e-16;*;*;*;
1273;J1635+2418;16:35:25.7;+24:18:47.3;0.490507;1.19e-16;*;*;*;
1274;J1635-4513;16:35:55.4;-45:13:27;1.594746;3.60e-15;*;*;*;
1275;J1635-4735;16:35:51.8;-47:35:23.3;2.594578;*;*;AXP,NRAD;*;
1276;J1635-4944;16:35:55.4;-49:44:36;0.671964;8.79e-15;*;*;*;
1277;J1635-5954;16:35:09.0;-59:54:41;0.529121;1.37e-15;*;*;*;
1278;J1636-2614;16:36:11.5;-26:14:47.0;0.510454;4.06e-15;*;*;1;
1279;J1636-4440;16:36:16.5;-44:40:25;0.206649;4.67e-14;*;*;*;
1280;J1636-4803;16:36:32.0;-48:03:55;1.204644;2.07e-14;*;*;*;
1281;J1636-4933;16:36:55.1;-49:33:10;0.430367;1.51e-15;*;*;*;
1282;J1637-4335;16:37:56.8;-43:35:42;0.771367;3.62e-15;*;*;*;
1283;J1637-4450;16:37:53.1;-44:50:26.3;0.252870;5.75e-16;*;*;*;
1284;J1637-4553;16:37:58.6;-45:53:26.8;0.118773;3.19e-15;*;*;*;
1285;J1637-46;16:37:36;-46:13;0.493091;*;*;*;*;
1286;J1637-4642;16:37:13.7;-46:42:14.2;0.154047;5.93e-14;*;*;*;
1287;J1637-4721;16:37:11.4;-47:21:03;1.165741;4.44e-15;*;*;*;
1288;J1637-4816;16:37:58.6;-48:16:12;0.837365;5.83e-15;*;*;*;
1289;J1638-35;16:38;-35;0.705000;*;*;*;*;
1290;J1638-3815;16:38:37.3;-38:15:03.4;0.698261;7.70e-17;*;*;*;
1291;J1638-3951;16:38:15.5;-39:51:59;0.771130;5.90e-16;*;*;*;
1292;J1638+4005;16:38:16.2;+40:05:56.3;0.767720;1.83e-16;*;*;*;
1293;J1638-4233;16:38:24.7;-42:33:55;0.510929;1.01e-14;*;*;*;
1294;J1638-4344;16:38:52.8;-43:44:04;1.121944;2.50e-17;*;*;*;
1295;J1638-44;16:38:18;-44:40;0.568057;*;*;*;*;
1296;J1638-4417;16:38:46.2;-44:17:03.2;0.117802;1.61e-15;*;*;*;
1297;J1638-4608;16:38:23.2;-46:08:13.4;0.278155;5.15e-14;*;*;*;
1298;J1638-4725;16:38:12.9;-47:25:32;0.763933;4.79e-15;MSS;*;*;
1299;J1638-5226;16:38:59.9;-52:26:57.4;0.340503;2.65e-15;*;*;*;
1300;J1639-4359;16:39:06.8;-43:59:52;0.587559;1.50e-17;*;*;*;
1301;J1639-4604;16:39:21.2;-46:04:33.1;0.264558;2.89e-15;*;*;*;
1302;J1640+2224;16:40:16.7;+22:24:08.8;0.003163;2.82e-21;DDH;HE[aab+22];*;
1303;J1640-4631;16:40:43.5;-46:31:35.4;0.206443;9.76e-13;*;NRAD;*;
1304;J1640-4648;16:40:47.6;-46:48:45;0.178352;8.06e-16;*;*;*;
1305;J1640-4715;16:40:13.0;-47:15:38.1;0.517430;4.21e-14;*;*;*;
1306;J1640-4951;16:40:43.5;-49:51:02.1;0.739099;3.34e-16;*;*;*;
1307;J1641-2347;16:41:18.0;-23:47:36;1.091008;4.11e-17;*;*;*;
1308;J1641+3627A;16:41:40.8;+36:27:14.9;0.010378;-7.27e-20;*;*;*;
1309;J1641+3627B;16:41:40.3;+36:25:58.4;0.003528;-1.49e-22;ELL1;*;*;
1310;J1641+3627C;16:41:41.0;+36:27:02.7;0.003722;1.23e-21;*;*;*;
1311;J1641+3627D;16:41:42.3;+36:27:28.2;0.003118;-2.35e-20;ELL1;*;*;
1312;J1641+3627E;16:41:42.0;+36:27:34.9;0.002487;1.74e-20;ELL1;*;*;
1313;J1641+3627F;16:41:44.6;+36:28:16.0;0.003004;1.40e-20;ELL1;*;*;
1314;J1641-5317;16:41:15.9;-53:17:48.8;0.175106;3.70e-15;*;NRAD;*;
1315;J1641+8049;16:41:20.8;+80:49:52.9;0.002021;8.95e-21;ELL1;*;*;
1316;J164310;16:43;-10;*;*;*;*;*;
1317;J1643-1224;16:43:38.1;-12:24:58.6;0.004622;1.85e-20;T2;*;*;
1318;J1643+1338;16:43:54.1;+13:38:43.9;1.099047;7.78e-16;*;*;*;
1319;J1643-4505;16:43:36.9;-45:05:45.8;0.237390;3.18e-14;*;*;*;
1320;J1643-4522;16:43:20.4;-45:22:01;1.347899;8.28e-15;*;*;*;
1321;J1643-4550;16:43:13.5;-45:50:54.5;0.717508;3.00e-14;*;*;*;
1322;J1644-33;16:44;-33;0.397000;*;*;*;*;
1323;J1644-44;16:44:36;-44:10;0.173911;*;*;*;*;
1324;J1644-4559;16:44:49.2;-45:59:09.7;0.455078;2.01e-14;*;*;4;
1325;J1644-46;16:44:06;-46:26;0.250941;*;*;*;*;
1326;J1644-4657;16:44:38.5;-46:57:38;0.125962;7.50e-16;*;*;*;
1327;J1645-0317;16:45:02.0;-03:17:57.8;0.387690;1.78e-15;*;*;7;
1328;J1645+1012;16:45:34.4;+10:12:16.0;0.410861;8.13e-17;*;*;*;
1329;J1646-1910;16:46:18.6;-19:10:14;4.817736;1.00e-14;*;*;*;
1330;J1646-2142;16:46:18.6;-21:42:02.4;0.005853;8.34e-21;*;*;*;
1331;J1646-4308;16:46:55.3;-43:08:07;0.840680;1.10e-16;*;*;*;
1332;J1646-4346;16:46:51.3;-43:46:38;0.231603;1.13e-13;*;*;2;
1333;J1646-5123;16:46:36.3;-51:23:14.6;0.530075;2.10e-15;*;*;*;
1334;J1646-6831;16:46:54.9;-68:31:51.7;1.785613;1.70e-15;*;*;*;
1335;J1647-3607;16:47:46.5;-36:07:04;0.212316;1.29e-16;*;RRAT;*;
1336;J1647-4552;16:47:10.2;-45:52:16.8;10.610656;8.33e-13;*;AXP,NRAD;*;
1337;J1647+6608;16:47:32.5;+66:08:22.2;1.599798;7.84e-15;*;*;*;
1338;J1648-3256;16:48:06.0;-32:56:40.8;0.719455;3.53e-15;*;*;*;
1339;J1648-4458;16:48:13.0;-44:58:26;0.629632;1.85e-15;*;*;*;
1340;J1648-4611;16:48:22.0;-46:11:15.7;0.164958;2.37e-14;*;*;*;
1341;J1648-6044;16:48:51.2;-60:44:25.5;0.583765;4.29e-16;*;*;*;
1342;J1649+2533;16:49:44.2;+25:33:07.0;1.015257;5.59e-16;*;*;*;
1343;J1649-3012;16:49:46.3;-30:12:21;0.003424;1.33e-20;*;NRAD[nie+20];*;
1344;J1649-3805;16:49:48.2;-38:05:59.1;0.262026;3.67e-17;*;*;*;
1345;J1649-3935;16:49:06.6;-39:35:44.2;0.770910;3.91e-17;*;*;*;
1346;J1649-4349;16:49:20.4;-43:49:22.2;0.870712;4.40e-17;*;*;*;
1347;J1649-4653;16:49:24.6;-46:53:09.3;0.557036;4.96e-14;*;*;*;
1348;J1649-4729;16:49:18.2;-47:29:53;0.297692;6.55e-15;*;*;*;
1349;J1649-5553;16:49:31.1;-55:53:40;0.613571;1.70e-15;*;*;*;
1350;J1650-1654;16:50:27.1;-16:54:42.2;1.749552;3.20e-15;*;*;*;
1351;J1650-4126;16:50:13.1;-41:26:33.8;0.308918;1.98e-17;*;*;*;
1352;J1650-4341;16:50:44.6;-43:41:30.8;0.309398;1.67e-17;*;*;*;
1353;J1650-4502;16:50:32.3;-45:02:37.3;0.380870;1.61e-14;*;*;1;
1354;J1650-4601;16:50:18.6;-46:01:18.6;0.127123;1.51e-14;*;NRAD;*;
1355;J1650-4921;16:50:35.1;-49:21:03.7;0.156400;1.82e-15;*;*;*;
1356;J1651+14;16:51:00;+14:22;0.828000;*;*;*;*;
1357;J1651-1709;16:51:31.7;-17:09:22;0.973394;3.04e-15;*;*;*;
1358;J1651-4246;16:51:48.7;-42:46:09.9;0.844081;4.75e-15;*;*;*;
1359;J1651-4519;16:51:57.2;-45:19:11;0.517443;8.19e-15;*;*;*;
1360;J1651-5222;16:51:42.9;-52:22:58.3;0.635058;1.81e-15;*;*;*;
1361;J1651-5255;16:51:41.4;-52:55:47.7;0.890537;2.12e-15;*;*;*;
1362;J1651-7642;16:51:07.8;-76:42:39.5;1.755311;1.36e-15;*;*;*;
1363;J1652-1400;16:52:16.6;-14:00:27.4;0.305447;1.76e-17;*;*;*;
1364;J1652-2404;16:52:58.5;-24:03:51;1.703739;3.16e-15;*;*;*;
1365;J1652+2651;16:52:03.0;+26:51:40.4;0.915803;6.54e-16;*;*;*;
1366;J1652-4406;16:52:59.5;-44:06:05;7.707183;9.50e-15;*;RRAT;*;
1367;J1652-4838;16:52:54;-48:45;0.003785;*;*;*;*;
1368;J1653-0158;16:53:38.0;-01:58:36.8;0.001968;2.40e-21;ELL1;NRAD;*;
1369;J1653-2054;16:53:31.0;-20:54:55.1;0.004129;1.12e-20;ELL1;*;*;
1370;J1653-3838;16:53:39.7;-38:38:20.8;0.305037;2.79e-15;*;*;*;
1371;J1653-4030;16:53:34.2;-40:30:01.4;1.019372;4.36e-16;*;*;*;
1372;J1653-4105;16:53:25.3;-41:05:25.6;0.498978;5.41e-17;*;*;*;
